campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_emoticons,is_discount,is_urgency,target_audience,click_rate,re_category
1,0,76,10439,39,5,1,1,6,26,3,29,0,0,0,0,0,0,14,0.1030789825970548,6
2,0,54,2570,256,5,1,0,2,11,0,22,0,0,0,0,0,0,10,0.7,2
3,0,59,12801,16,5,1,1,2,11,3,23,1,0,1,0,0,0,16,0.0027689087319987,2
4,0,74,11037,30,4,0,2,15,9,4,24,0,0,0,0,0,0,10,0.0108677632669601,15
5,0,80,10011,27,5,1,1,6,26,3,31,0,0,1,0,0,0,14,0.1428262280891581,6
6,0,54,2569,256,4,0,2,2,11,0,22,0,0,0,0,0,0,10,0.5,2
7,0,54,2570,256,4,0,2,2,11,0,22,0,0,0,0,0,0,10,0.4571428571428571,2
8,0,60,12117,17,4,0,1,6,26,4,34,1,0,1,0,0,0,14,0.1669980119284294,6
9,0,89,10055,14,4,0,1,6,26,3,34,1,0,0,0,0,0,13,0.0292331055429005,6
10,0,89,11049,26,3,0,2,15,9,4,28,0,0,0,0,0,0,6,0.0030576665176575,15
11,0,77,7552,36,3,0,1,6,26,2,35,2,0,0,0,0,0,14,0.117599569429494,6
12,0,78,10473,26,3,0,1,6,26,2,22,1,0,0,0,0,0,14,0.2256267409470752,6
13,0,82,9587,33,2,0,2,15,9,2,27,1,0,0,0,0,0,15,0.0064634277711946,15
14,0,86,14787,19,2,0,2,2,11,9,29,1,0,1,0,0,0,16,0.0066768282580602,2
15,0,91,9407,32,2,0,1,6,26,8,17,2,0,1,0,0,0,16,0.0146100096954297,6
16,0,78,10473,26,2,0,1,6,26,2,22,1,0,0,0,0,0,14,0.2063492063492063,6
17,0,78,9020,29,2,0,1,6,26,2,40,0,0,0,0,0,0,14,0.1336380747512772,6
18,0,83,9400,27,1,0,1,6,26,8,19,2,0,1,0,0,0,16,0.0096669586733674,6
19,0,71,11334,36,0,0,2,15,9,4,31,1,0,1,0,0,0,12,0.0054179566563467,15
20,0,71,11334,36,0,0,2,15,9,4,31,1,0,1,0,0,0,15,0.003031323678006,15
