energy,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear
1259.9855625,0,5,1,3,2008,61,1,9
1095.5415,1,5,1,3,2008,61,1,9
1056.2475,2,5,1,3,2008,61,1,9
1034.742,3,5,1,3,2008,61,1,9
1026.3345,4,5,1,3,2008,61,1,9
1033.7685,5,5,1,3,2008,61,1,9
1086.78,6,5,1,3,2008,61,1,9
1211.742,7,5,1,3,2008,61,1,9
1293.693,8,5,1,3,2008,61,1,9
1318.9154999999998,9,5,1,3,2008,61,1,9
1337.943,10,5,1,3,2008,61,1,9
1348.917,11,5,1,3,2008,61,1,9
1360.6875,12,5,1,3,2008,61,1,9
1363.254,13,5,1,3,2008,61,1,9
1385.4675,14,5,1,3,2008,61,1,9
1392.9015,15,5,1,3,2008,61,1,9
1392.9015,16,5,1,3,2008,61,1,9
1384.494,17,5,1,3,2008,61,1,9
1358.7405,18,5,1,3,2008,61,1,9
1330.509,19,5,1,3,2008,61,1,9
1346.1735,20,5,1,3,2008,61,1,9
1358.3864999999998,21,5,1,3,2008,61,1,9
1313.0745,22,5,1,3,2008,61,1,9
1244.9295,23,5,1,3,2008,61,1,9
1163.5095,0,6,1,3,2008,62,2,9
1085.01,1,6,1,3,2008,62,2,9
1032.972,2,6,1,3,2008,62,2,9
1004.652,3,6,1,3,2008,62,2,9
989.1645,4,6,1,3,2008,62,2,9
986.067,5,6,1,3,2008,62,2,9
1002.7935,6,6,1,3,2008,62,2,9
1050.1409999999998,7,6,1,3,2008,62,2,9
1096.2495,8,6,1,3,2008,62,2,9
1163.244,9,6,1,3,2008,62,2,9
1213.512,10,6,1,3,2008,62,2,9
1246.2569999999998,11,6,1,3,2008,62,2,9
1246.08,12,6,1,3,2008,62,2,9
1243.956,13,6,1,3,2008,62,2,9
1233.159,14,6,1,3,2008,62,2,9
1217.583,15,6,1,3,2008,62,2,9
1201.7415,16,6,1,3,2008,62,2,9
1205.37,17,6,1,3,2008,62,2,9
1193.2455,18,6,1,3,2008,62,2,9
1184.0415,19,6,1,3,2008,62,2,9
1223.5125,20,6,1,3,2008,62,2,9
1243.956,21,6,1,3,2008,62,2,9
1240.3275,22,6,1,3,2008,62,2,9
1145.1899999999998,23,6,1,3,2008,62,2,9
1077.222,0,0,1,3,2008,63,3,10
1012.7055,1,0,1,3,2008,63,3,10
956.4195,2,0,1,3,2008,63,3,10
938.1,3,0,1,3,2008,63,3,10
923.763,4,0,1,3,2008,63,3,10
923.055,5,0,1,3,2008,63,3,10
930.0465,6,0,1,3,2008,63,3,10
955.3575,7,0,1,3,2008,63,3,10
998.988,8,0,1,3,2008,63,3,10
1058.9025,9,0,1,3,2008,63,3,10
1105.6305,10,0,1,3,2008,63,3,10
1125.897,11,0,1,3,2008,63,3,10
1142.358,12,0,1,3,2008,63,3,10
1150.2345,13,0,1,3,2008,63,3,10
1143.774,14,0,1,3,2008,63,3,10
1129.1715,15,0,1,3,2008,63,3,10
1115.5425,16,0,1,3,2008,63,3,10
1128.8175,17,0,1,3,2008,63,3,10
1132.3574999999998,18,0,1,3,2008,63,3,10
1148.6415,19,0,1,3,2008,63,3,10
1222.9815,20,0,1,3,2008,63,3,10
1259.9745,21,0,1,3,2008,63,3,10
1228.203,22,0,1,3,2008,63,3,10
1162.182,23,0,1,3,2008,63,3,10
1093.0635,0,1,1,3,2008,64,4,10
1045.8045,1,1,1,3,2008,64,4,10
1009.608,2,1,1,3,2008,64,4,10
996.5985,3,1,1,3,2008,64,4,10
995.3595,4,1,1,3,2008,64,4,10
1010.139,5,1,1,3,2008,64,4,10
1087.0455,6,1,1,3,2008,64,4,10
1226.787,7,1,1,3,2008,64,4,10
1315.464,8,1,1,3,2008,64,4,10
1331.571,9,1,1,3,2008,64,4,10
1352.457,10,1,1,3,2008,64,4,10
1372.7234999999998,11,1,1,3,2008,64,4,10
1382.4585,12,1,1,3,2008,64,4,10
1386.087,13,1,1,3,2008,64,4,10
1398.5655,14,1,1,3,2008,64,4,10
1393.6095,15,1,1,3,2008,64,4,10
1388.4765,16,1,1,3,2008,64,4,10
1382.1045,17,1,1,3,2008,64,4,10
1366.5285,18,1,1,3,2008,64,4,10
1360.068,19,1,1,3,2008,64,4,10
1399.1453621069707,20,1,1,3,2008,64,4,10
1427.7705,21,1,1,3,2008,64,4,10
1379.0955,22,1,1,3,2008,64,4,10
1282.9845,23,1,1,3,2008,64,4,10
1186.3425,0,2,1,3,2008,65,5,10
1109.082,1,2,1,3,2008,65,5,10
1073.1509999999998,2,2,1,3,2008,65,5,10
1055.451,3,2,1,3,2008,65,5,10
1054.389,4,2,1,3,2008,65,5,10
1062.885,5,2,1,3,2008,65,5,10
1130.145,6,2,1,3,2008,65,5,10
1273.7804999999998,7,2,1,3,2008,65,5,10
1366.794,8,2,1,3,2008,65,5,10
1375.9095,9,2,1,3,2008,65,5,10
1373.4315,10,2,1,3,2008,65,5,10
1375.467,11,2,1,3,2008,65,5,10
1369.98,12,2,1,3,2008,65,5,10
1364.9354999999998,13,2,1,3,2008,65,5,10
1367.3249999999998,14,2,1,3,2008,65,5,10
1350.4215,15,2,1,3,2008,65,5,10
1336.9695,16,2,1,3,2008,65,5,10
1336.4385,17,2,1,3,2008,65,5,10
1326.0839999999998,18,2,1,3,2008,65,5,10
1325.376,19,2,1,3,2008,65,5,10
1384.9365,20,2,1,3,2008,65,5,10
1416.6195,21,2,1,3,2008,65,5,10
1369.0065,22,2,1,3,2008,65,5,10
1285.02,23,2,1,3,2008,65,5,10
1198.3785,0,3,1,3,2008,66,6,10
1129.614,1,3,1,3,2008,66,6,10
1092.7095,2,3,1,3,2008,66,6,10
1078.992,3,3,1,3,2008,66,6,10
1076.514,4,3,1,3,2008,66,6,10
1093.506,5,3,1,3,2008,66,6,10
1164.66,6,3,1,3,2008,66,6,10
1298.9145,7,3,1,3,2008,66,6,10
1388.1225,8,3,1,3,2008,66,6,10
1382.0159999999998,9,3,1,3,2008,66,6,10
1376.0865,10,3,1,3,2008,66,6,10
1362.5459999999998,11,3,1,3,2008,66,6,10
1351.4834999999998,12,3,1,3,2008,66,6,10
1339.6245,13,3,1,3,2008,66,6,10
1330.332,14,3,1,3,2008,66,6,10
1337.589,15,3,1,3,2008,66,6,10
