age,education_fill_1,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none
27,1,0,504264,820920,2,2,0
48,1,0,728556,831444,6,2,0
30,2,1,642936,826092,0,0,0
28,1,0,746556,930924,0,0,0
29,1,0,1139880,1902000,0,0,0
34,2,0,779784,902040,0,0,0
27,2,0,449268,847896,0,0,0
27,2,0,582036,905604,0,0,0
30,1,0,712956,866292,0,0,0
46,2,0,554988,761724,3,0,0
32,2,0,654156,756348,0,0,0
30,1,2,639636,840084,3,3,0
30,2,0,615636,929004,0,0,0
36,2,0,523464,779244,0,0,0
46,2,0,667356,808884,7,3,0
25,2,0,532188,722976,0,0,0
38,2,0,663108,784920,0,0,0
46,1,1,622536,872448,5,3,0
40,2,0,602916,764868,4,2,0
38,2,0,577740,897240,13,4,0
34,2,0,588588,857136,0,0,0
41,1,0,710556,896244,0,0,0
34,1,0,429228,828744,5,4,0
44,2,0,615636,818520,2,0,0
32,1,0,699108,805092,10,8,0
28,1,0,696156,843012,0,0,0
47,2,3,701364,924468,0,0,0
33,1,0,904212,1317648,2,0,0
33,2,0,627636,841380,0,0,0
27,2,0,532188,953868,3,3,0
42,1,0,496728,721548,9,6,0
26,1,0,873780,1264860,0,0,0
44,1,0,606636,939036,12,3,0
45,2,1,636936,846984,0,0,0
27,2,0,588036,1262640,0,0,0
28,1,0,739764,1236000,0,0,0
29,2,0,742956,1072104,0,0,0
34,1,0,698148,884304,0,0,0
36,2,2,766584,1290888,2,0,0
41,2,0,966396,1307400,0,0,0
33,1,0,830028,1165872,2,2,0
38,2,0,560988,707244,3,2,0
30,2,0,446868,704136,0,0,0
45,1,0,673908,767352,2,0,0
34,2,3,750564,859200,5,3,0
37,2,0,520728,843792,2,0,0
34,2,0,630636,782496,5,2,0
40,1,0,664956,886200,0,0,0
37,1,1,577740,832056,0,0,0
28,1,0,401808,571692,0,0,0
31,2,0,544188,674592,2,2,0
40,2,0,618636,825084,2,2,0
43,1,1,677508,846000,0,0,0
47,2,0,699108,910260,0,0,0
47,2,0,1709916,2195352,2,2,0
30,2,0,437868,749100,2,2,0
42,1,0,801228,955200,3,3,0
38,1,0,507360,861876,0,0,0
48,1,0,703908,801000,4,2,0
38,2,0,648936,825528,0,0,0
33,2,1,630936,871632,0,0,0
29,2,0,675108,821412,0,0,0
41,1,0,616596,805560,9,7,0
45,2,0,445668,888000,2,0,0
46,2,0,469668,763800,0,0,0
37,2,0,615636,882216,0,0,0
32,1,0,668556,850500,2,2,0
29,2,0,514728,813168,0,0,0
44,1,0,624936,814800,2,2,0
38,2,1,715188,1247304,0,0,0
37,1,0,968232,1215600,3,0,0
41,2,0,258000,1082400,16,7,0
47,2,1,1063920,1912404,0,0,0
47,2,0,790584,896592,0,0,0
47,2,0,1385016,2058408,0,0,0
49,1,1,648156,748452,4,2,0
32,2,0,636936,833244,2,2,0
29,2,0,640800,815460,0,0,0
36,2,1,455268,873984,0,0,0
