Tipster,Track,Horse,Bet Type,Odds,TipsterActive,Result
7,92,2279,0,26.0,True,0
7,114,11332,1,11.0,True,0
14,2,14120,0,41.0,True,0
8,12,328,1,4.5,True,1
16,24,15129,0,11.0,False,1
8,16,12156,1,4.0,True,1
3,26,8580,1,1.83,False,1
28,26,6191,1,11.0,True,0
0,76,5780,0,5.0,True,0
18,113,15177,1,3.25,False,0
17,54,12698,1,3.75,True,0
11,94,6529,0,41.0,True,0
16,69,6788,1,4.5,False,1
14,80,3864,1,9.0,True,0
3,86,14148,1,2.88,False,0
8,72,5506,1,5.0,True,1
22,86,6365,1,4.0,True,1
14,4,12210,1,13.0,True,0
28,80,8234,1,15.0,True,0
8,0,15704,1,3.5,True,0
30,17,3249,1,2.63,False,1
2,2,4811,1,13.0,True,0
5,74,11151,1,13.0,False,0
13,111,12296,1,12.0,True,1
28,7,14399,1,11.0,True,0
8,26,724,1,5.0,True,0
29,54,12089,0,6.5,False,1
1,42,1296,1,17.0,True,0
29,92,7300,1,7.5,False,1
9,14,6216,1,4.5,False,1
28,80,946,1,13.0,True,0
6,26,7772,0,8.0,True,0
1,83,11504,1,8.0,True,0
28,73,1107,1,13.0,True,1
6,23,10362,1,14.0,True,1
27,33,13230,1,13.0,False,1
3,37,11342,1,5.0,False,1
24,114,13475,1,12.0,True,1
23,114,3518,1,7.0,True,1
17,39,14928,0,10.0,True,1
28,12,5431,1,6.5,True,1
16,42,9172,1,21.0,False,0
19,110,3013,1,29.0,True,0
8,12,11333,1,4.5,True,1
22,111,11335,0,15.0,True,1
28,37,12663,1,13.0,True,1
8,82,14851,1,4.0,True,1
16,102,4569,1,8.0,False,0
13,48,13478,0,26.0,True,0
27,4,3878,1,26.0,False,0
28,106,10025,1,5.5,True,0
12,114,15497,1,15.0,False,0
3,34,5676,1,4.5,False,0
1,86,6089,1,8.0,True,0
8,47,2118,1,6.0,True,1
28,24,15275,1,5.5,True,1
1,109,12079,1,4.5,True,1
19,4,14,1,21.0,True,0
28,54,15446,1,8.0,True,0
15,73,2192,1,5.5,True,0
8,83,8039,1,2.87,True,0
25,41,11206,0,9.0,True,0
8,2,9297,1,6.5,True,0
8,69,7077,1,5.5,True,0
7,111,3763,0,17.0,True,1
8,42,5653,1,4.5,True,1
22,69,11176,1,4.5,True,0
1,47,9292,0,21.0,True,0
3,33,2748,1,5.0,False,1
28,42,13703,1,6.5,True,0
0,83,9527,0,5.0,True,1
8,16,15212,1,4.0,True,1
8,27,566,1,4.33,True,0
29,19,9435,1,8.0,False,0
14,48,8406,1,6.5,True,1
12,6,15619,1,11.0,False,0
28,112,83,1,15.0,True,0
8,111,13113,1,2.75,True,1
26,16,14973,1,9.0,True,0
21,26,13374,1,9.0,False,0
24,17,4886,1,17.0,True,0
24,114,7716,1,13.0,True,0
8,74,15345,1,2.75,True,0
24,67,5136,1,8.0,True,0
8,11,15213,1,8.0,True,0
28,59,3427,1,8.0,True,0
28,62,6748,1,8.0,True,1
17,104,4501,1,2.63,True,1
21,89,7361,1,51.0,False,0
4,59,5721,0,11.0,False,0
9,17,3369,1,3.0,False,1
4,37,15410,0,21.0,False,1
30,14,6813,1,3.25,False,1
17,72,8823,0,29.0,True,1
4,48,9841,0,13.0,False,1
20,4,6108,1,5.6,True,0
7,96,662,0,21.0,True,1
8,54,1559,1,4.0,True,1
17,42,5663,0,13.0,True,1
28,37,1169,1,11.0,True,0
19,47,1272,1,21.0,True,0
16,2,15156,1,6.5,False,1
17,72,14797,1,7.0,True,1
0,113,1044,1,3.75,True,0
28,89,11974,1,13.0,True,1
10,59,8170,0,5.0,False,0
24,64,8379,1,7.0,True,1
18,2,13331,0,15.0,False,1
27,92,4514,1,4.5,False,0
3,106,445,1,1.57,False,1
1,111,1896,1,17.0,True,0
3,96,11959,1,4.0,False,1
18,2,10814,0,12.0,False,1
8,47,8101,1,5.0,True,0
22,113,176,1,2.5,True,1
28,92,971,1,17.0,True,0
1,76,12233,1,29.0,True,0
22,111,1953,1,2.5,True,1
4,4,654,0,15.0,False,1
21,74,5449,1,5.5,False,1
28,71,8866,0,21.0,True,0
20,24,3371,1,4.8,True,0
3,54,13025,1,4.33,False,1
24,81,4465,1,8.5,True,0
16,60,15274,1,9.0,False,0
17,77,8962,1,1.61,True,1
8,111,1058,1,5.5,True,0
14,62,4524,1,17.0,True,1
1,48,2809,1,6.0,True,0
1,111,561,1,5.5,True,1
6,37,4041,1,34.0,True,1
28,18,12700,1,13.0,True,1
19,85,10809,1,15.0,True,0
6,10,1939,1,17.0,True,0
3,76,12410,1,1.73,False,1
9,48,2184,1,5.5,False,1
13,4,2186,1,11.0,True,1
28,18,3955,1,8.0,True,1
21,25,11384,0,34.0,False,0
28,69,931,1,13.0,True,0
3,66,11530,1,2.5,False,0
3,89,11881,1,5.0,False,1
18,2,4520,1,5.0,False,1
7,26,13326,1,15.0,True,0
3,4,5692,1,5.0,False,0
22,7,10695,1,4.0,True,1
11,74,1368,0,17.0,True,0
28,4,2975,1,6.0,True,0
8,76,506,1,3.75,True,1
7,54,3725,1,13.0,True,1
28,54,2728,1,8.5,True,0
22,83,12695,1,11.0,True,0
