decile3,decile1,lsat,ugpa,fam_inc,parttime,male,race1,tier,pass_bar
9,8,40.0,3.7,4,0,0,4,4,1
2,2,39.0,3.5,4,0,0,4,4,1
3,3,34.0,2.8,3,0,1,4,2,1
8,7,39.0,2.8,3,1,0,4,3,1
6,1,42.0,3.7,3,1,0,4,3,1
6,8,35.0,3.0,4,0,1,4,5,1
9,10,38.0,3.4,4,0,1,4,6,1
4,4,33.0,3.3,3,0,0,4,4,1
7,7,41.0,3.5,3,0,0,4,4,1
3,4,41.0,3.3,3,0,0,4,4,1
1,2,28.5,2.7,4,0,0,4,3,1
6,7,34.0,3.0,3,0,1,4,4,1
9,9,45.0,2.6,4,0,1,4,4,1
3,3,35.0,2.5,4,0,1,4,3,1
3,2,34.0,2.5,5,0,1,4,2,1
7,6,38.0,3.6,4,0,0,4,6,1
6,4,47.0,3.9,4,0,0,4,5,1
6,6,43.0,3.3,5,0,0,4,3,1
10,10,38.0,3.4,3,0,1,4,3,1
7,8,42.0,3.0,4,0,0,4,4,1
5,4,33.5,2.5,3,0,1,4,2,1
1,2,38.0,3.4,4,0,1,4,3,1
4,4,39.0,2.6,3,0,1,4,3,1
4,5,39.0,2.4,4,1,1,4,5,1
3,4,41.0,2.7,3,0,1,0,5,1
2,2,19.5,3.4,5,1,1,3,3,1
6,8,33.0,3.2,4,0,1,4,3,1
10,9,36.0,3.0,4,0,1,4,5,1
8,9,36.0,3.7,1,0,1,4,3,1
10,10,40.0,3.6,4,0,1,4,4,1
9,10,44.0,3.1,4,0,1,4,5,1
6,5,38.0,3.7,4,0,0,4,4,1
3,2,30.0,2.9,2,1,0,1,4,1
4,2,35.0,3.3,4,0,0,4,3,1
8,6,41.0,3.5,3,0,0,4,6,1
4,6,47.0,3.2,3,0,0,4,3,1
6,4,32.0,1.9,4,1,1,4,2,1
1,1,27.0,2.8,3,0,0,2,4,0
9,10,38.0,3.3,4,0,0,3,5,1
1,7,32.5,2.8,4,0,0,4,2,1
9,7,45.0,3.4,4,0,1,4,4,1
4,4,34.0,3.8,4,0,0,4,5,1
8,8,32.0,3.5,3,0,1,4,5,1
6,5,44.0,3.6,4,0,1,4,4,1
1,1,31.0,2.7,4,0,1,4,3,1
8,9,31.0,2.8,4,0,1,4,2,1
6,7,43.0,2.5,3,0,0,4,3,1
9,8,41.0,2.8,4,0,1,4,3,1
7,8,40.0,3.7,4,0,1,4,4,1
8,8,39.0,3.0,4,0,0,4,3,1
8,8,44.0,3.4,3,0,0,4,4,1
4,3,34.0,3.3,4,0,0,4,3,1
4,6,40.0,2.7,4,0,1,4,3,1
9,10,28.0,3.5,5,0,0,4,1,1
7,8,34.0,3.1,4,1,0,4,3,1
9,10,41.0,3.9,4,0,1,4,5,1
8,9,39.0,3.1,1,0,1,4,4,1
7,7,28.0,3.3,1,0,0,0,2,1
10,8,32.0,3.6,3,0,1,4,5,1
6,7,22.0,2.9,4,0,1,1,1,1
3,2,25.7,3.1,2,0,1,1,3,1
5,5,34.0,3.8,2,0,0,4,4,1
7,9,16.0,3.3,1,0,0,2,1,1
1,2,37.0,3.8,3,0,0,4,3,0
4,4,33.5,3.2,3,0,1,4,3,1
6,5,44.0,2.8,4,0,0,4,4,1
2,2,36.0,2.4,4,0,1,0,3,1
1,3,39.0,2.7,4,0,1,4,3,1
7,5,38.0,2.7,5,0,1,4,3,1
4,4,22.5,2.9,3,0,0,2,3,1
4,3,30.5,3.5,4,0,1,4,3,1
7,9,36.0,3.4,3,0,0,4,4,1
6,5,35.0,3.5,4,0,0,4,2,1
6,7,35.0,2.5,4,0,1,2,1,1
4,5,46.0,3.5,4,0,0,0,6,1
4,5,21.0,2.9,4,0,1,1,1,0
10,8,37.0,3.3,3,0,1,4,5,1
3,6,32.0,3.2,2,0,0,4,2,1
9,10,34.0,2.8,4,1,1,4,3,1
8,8,30.0,3.1,3,0,1,4,3,1
2,10,40.0,3.2,5,0,0,4,5,1
10,10,45.0,3.4,4,0,0,4,3,0
2,2,33.0,3.6,2,0,1,4,5,1
8,5,40.0,3.0,4,0,0,4,5,1
10,9,42.0,3.6,4,0,1,4,5,1
5,8,39.0,2.7,4,0,1,4,3,1
10,9,36.0,3.2,5,0,0,4,6,1
3,4,36.0,3.2,5,0,0,4,3,1
4,4,40.0,3.7,5,0,1,4,4,1
1,2,27.0,3.0,4,0,0,4,3,1
4,5,30.0,3.5,3,0,1,4,4,1
7,8,42.0,3.2,3,0,0,4,4,1
8,9,47.0,3.6,4,0,0,0,5,1
9,8,41.0,3.7,4,0,1,4,6,1
1,1,30.0,2.8,2,0,0,3,5,0
5,3,41.0,3.7,3,0,1,4,5,1
8,8,37.0,3.7,4,0,1,4,4,1
8,7,32.5,3.2,4,0,0,4,2,1
3,2,33.5,3.2,4,0,1,4,2,1
5,4,36.0,3.8,3,0,0,4,4,1
8,7,37.0,3.9,4,0,0,4,2,1
4,4,22.0,3.5,4,0,0,1,3,0
7,3,28.7,3.5,1,0,1,4,3,1
6,6,42.0,3.6,3,0,1,4,3,1
10,10,40.0,3.7,4,1,1,4,1,1
1,4,36.0,3.1,4,0,1,0,3,0
5,6,36.0,2.6,4,0,1,4,4,1
10,10,44.0,3.4,3,0,0,4,5,1
1,8,32.5,2.4,4,0,0,3,4,1
9,8,40.0,3.2,3,0,1,4,3,1
8,9,20.0,2.4,3,0,1,1,1,1
1,1,36.0,3.2,4,0,1,4,3,1
5,5,38.0,3.2,3,0,1,4,2,1
10,10,33.0,3.4,3,0,0,4,3,1
3,3,32.0,2.8,4,0,1,4,2,1
6,6,40.0,2.8,4,0,1,4,3,1
8,6,38.0,3.4,3,0,0,4,3,1
6,5,46.0,3.6,5,0,0,4,6,1
4,4,40.0,2.4,4,0,1,4,3,1
8,9,40.0,3.4,4,0,0,4,3,1
2,3,32.0,3.5,4,0,0,4,3,1
5,6,40.0,3.1,4,0,1,4,4,1
3,4,31.5,2.2,2,0,1,1,4,1
1,1,46.0,3.6,3,0,1,4,6,1
1,2,27.0,2.6,1,1,0,1,4,0
10,9,35.0,3.4,3,0,1,4,5,1
10,10,47.0,3.8,4,0,1,4,4,1
2,2,38.0,3.6,2,0,1,4,3,1
5,6,27.7,2.9,4,1,1,4,2,1
8,6,42.0,3.1,5,0,1,4,3,1
10,9,33.0,2.4,3,0,1,1,4,1
3,2,34.0,3.2,4,0,1,4,4,1
7,8,29.0,3.7,4,0,1,4,2,1
6,9,33.5,3.2,4,0,0,4,3,1
6,8,33.0,3.1,3,1,1,1,5,1
8,7,31.0,2.9,3,0,0,4,3,1
5,10,37.0,2.8,4,0,1,4,5,1
9,9,25.0,2.7,1,0,0,1,3,1
9,9,37.0,3.4,3,1,0,4,4,1
2,2,39.0,2.7,3,0,1,2,4,1
8,9,36.0,2.9,3,0,1,4,3,1
2,6,35.0,3.5,4,0,1,4,6,1
2,3,28.0,2.9,3,0,0,4,2,1
7,7,41.0,2.9,4,0,1,4,2,1
1,2,41.0,3.5,2,0,0,4,5,0
9,9,36.0,3.7,2,0,0,4,3,1
2,3,36.0,3.0,5,0,1,2,5,1
7,7,45.0,3.0,4,0,1,4,4,1
4,2,40.0,2.5,5,0,1,4,4,1
6,4,40.0,2.9,3,0,0,0,3,1
8,8,36.0,3.2,4,0,1,4,3,1
7,7,33.5,3.2,4,0,1,3,2,1
7,6,34.0,3.6,3,1,1,4,4,1
6,8,39.0,3.0,3,0,1,4,3,1
1,3,37.0,2.9,3,0,1,4,5,1
10,9,35.0,3.2,2,0,1,4,2,1
5,4,36.0,3.1,4,0,0,4,3,1
1,2,35.5,3.3,4,0,1,4,3,0
1,1,34.0,2.6,2,0,0,2,3,1
7,2,35.0,3.7,3,0,1,4,4,1
10,10,32.0,3.1,4,0,0,4,3,1
3,4,32.7,3.1,4,0,0,4,3,1
5,4,34.0,3.0,3,1,0,4,5,1
7,8,37.0,3.5,3,0,0,4,3,1
2,3,38.0,3.7,2,0,1,3,4,1
5,4,36.0,3.4,3,0,0,4,2,1
6,9,42.0,2.6,3,1,1,4,4,1
3,4,42.0,3.8,4,0,0,4,6,1
5,6,33.0,3.3,2,0,1,4,3,1
9,8,34.0,3.3,5,0,0,4,3,1
2,2,44.0,2.7,2,0,1,4,4,1
3,6,38.0,3.4,4,0,0,4,3,1
9,10,46.0,3.9,4,0,1,4,5,1
9,7,40.0,2.8,4,0,1,4,3,1
10,10,36.0,3.1,2,0,1,4,3,1
10,10,41.0,3.3,3,0,1,4,3,1
10,10,35.0,3.3,5,0,1,4,3,1
5,5,31.0,3.2,3,0,1,4,2,1
1,2,29.0,2.7,4,0,0,2,4,1
3,2,39.0,3.3,3,0,1,4,4,1
1,2,30.0,2.7,4,0,1,1,4,0
7,8,39.0,3.4,3,0,0,4,4,1
4,4,47.0,3.6,4,0,0,4,5,1
8,8,39.0,3.4,3,0,0,0,5,1
3,3,25.0,3.2,3,0,0,4,3,1
6,6,38.0,3.6,3,0,1,4,4,1
2,7,24.0,3.0,2,0,1,1,1,0
3,3,36.0,3.0,4,0,0,4,5,1
4,2,43.0,2.4,3,0,1,1,4,1
10,7,44.0,3.9,3,0,1,4,5,1
4,4,41.0,3.1,3,0,1,4,3,1
7,8,35.0,3.9,4,0,1,4,4,1
8,7,46.0,3.6,4,0,1,4,6,1
4,2,36.0,3.3,4,0,1,4,3,1
7,6,40.0,3.5,4,0,0,4,3,1
5,6,40.0,3.1,3,0,0,4,4,1
5,5,42.0,3.1,3,0,0,4,4,1
5,3,45.0,3.1,4,0,1,4,4,1
6,4,36.0,3.1,1,0,0,4,3,1
4,3,45.0,3.7,4,0,0,4,6,1
6,7,33.0,3.5,4,0,1,4,4,1
3,7,33.0,3.1,4,0,1,0,3,1
3,2,40.0,3.5,3,0,0,4,4,1
3,5,41.0,3.0,5,0,1,4,3,1
1,2,32.0,2.6,4,0,1,4,3,1
8,9,34.0,3.1,3,0,1,4,3,1
8,6,42.0,3.8,4,1,1,4,3,1
4,4,40.0,3.0,4,0,1,4,4,1
7,7,33.5,3.7,4,0,0,4,4,1
5,3,38.0,3.9,3,0,0,4,2,1
1,1,24.0,2.5,3,0,1,3,4,1
10,10,36.0,3.0,3,1,1,4,5,1
10,8,32.0,3.5,4,0,0,4,2,1
5,5,40.0,3.2,4,0,1,4,6,1
7,9,38.5,2.4,4,1,1,4,4,1
6,8,41.0,3.7,3,0,1,4,4,1
5,6,38.0,3.4,3,0,0,4,3,1
9,9,35.0,3.9,3,0,0,4,4,1
2,1,39.0,2.4,4,0,1,1,5,1
6,5,35.0,3.4,2,0,0,4,3,1
9,9,35.0,3.0,4,0,0,4,3,1
6,7,39.0,3.3,3,1,0,4,3,1
3,3,39.0,3.4,5,0,0,4,6,1
10,10,45.0,3.7,5,0,1,3,5,1
3,2,33.5,2.9,4,0,1,4,4,1
8,9,36.0,3.2,2,0,0,4,4,1
2,3,31.0,3.4,3,0,0,2,3,1
7,4,32.5,2.8,3,0,0,4,3,1
1,4,36.0,3.1,2,0,0,2,3,0
2,4,39.0,3.1,4,0,1,4,5,1
4,5,26.0,2.7,2,0,1,1,1,0
1,2,47.0,3.5,4,0,1,4,5,1
4,9,48.0,2.7,4,0,1,4,3,1
1,2,31.0,3.1,2,1,0,2,3,1
9,5,30.0,2.8,4,0,1,4,5,1
4,3,41.0,3.3,4,0,1,4,3,1
10,10,40.0,3.3,4,0,1,4,3,1
2,2,30.0,2.7,5,0,1,4,2,1
2,2,35.0,3.0,4,0,1,4,2,1
10,10,42.0,3.6,3,0,0,4,6,1
9,10,35.0,3.7,2,1,0,4,5,1
3,4,35.0,3.3,3,0,0,4,3,1
2,2,44.0,3.9,3,0,1,4,6,1
10,10,44.0,3.6,3,0,1,4,4,1
