decile3,decile1,sex,lsat,ugpa,grad,fulltime,fam_inc,parttime,male,race1,tier,decile1b,pass_bar
9.0,8.0,1.0,40.0,3.7,0,1.0,4.0,0.0,0.0,4,4.0,8.0,1
2.0,2.0,1.0,39.0,3.5,0,1.0,4.0,0.0,0.0,4,4.0,2.0,1
3.0,3.0,2.0,34.0,2.8,0,1.0,3.0,0.0,1.0,4,2.0,3.0,1
8.0,7.0,1.0,39.0,2.8,0,2.0,3.0,1.0,0.0,4,3.0,7.0,1
6.0,1.0,1.0,42.0,3.7,0,2.0,3.0,1.0,0.0,4,3.0,1.0,1
6.0,8.0,2.0,35.0,3.0,0,1.0,4.0,0.0,1.0,4,5.0,8.0,1
9.0,10.0,2.0,38.0,3.4,0,1.0,4.0,0.0,1.0,4,6.0,10.0,1
4.0,4.0,1.0,33.0,3.3,0,1.0,3.0,0.0,0.0,4,4.0,3.0,1
7.0,7.0,1.0,41.0,3.5,0,1.0,3.0,0.0,0.0,4,4.0,7.0,1
3.0,4.0,1.0,41.0,3.3,0,1.0,3.0,0.0,0.0,4,4.0,3.0,1
1.0,2.0,1.0,28.5,2.7,0,1.0,4.0,0.0,0.0,4,3.0,2.0,1
6.0,7.0,2.0,34.0,3.0,0,1.0,3.0,0.0,1.0,4,4.0,6.0,1
9.0,9.0,2.0,45.0,2.6,0,1.0,4.0,0.0,1.0,4,4.0,9.0,1
3.0,3.0,2.0,35.0,2.5,0,1.0,4.0,0.0,1.0,4,3.0,3.0,1
3.0,2.0,2.0,34.0,2.5,0,1.0,5.0,0.0,1.0,4,2.0,2.0,1
7.0,6.0,1.0,38.0,3.6,0,1.0,4.0,0.0,0.0,4,6.0,6.0,1
6.0,4.0,1.0,47.0,3.9,0,1.0,4.0,0.0,0.0,4,5.0,4.0,1
6.0,6.0,1.0,43.0,3.3,0,1.0,5.0,0.0,0.0,4,3.0,6.0,1
10.0,10.0,2.0,38.0,3.4,0,1.0,3.0,0.0,1.0,4,3.0,10.0,1
7.0,8.0,1.0,42.0,3.0,0,1.0,4.0,0.0,0.0,4,4.0,7.0,1
