fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
20.1426,9.9778,2.2695,0.6022,0.3898,-4.7403,15.5312,-9.5154,17.646,56.5999,g
19.83,7.3303,2.2541,0.7521,0.4095,2.8528,-9.7666,5.0346,13.794,108.464,g
163.332,13.8819,2.9395,0.254,0.1293,-131.07399999999998,-75.0854,-8.5308,58.8365,118.236,h
13.2942,10.6649,2.1804,0.7855,0.3927,-15.0,-0.3975,11.9048,67.6577,118.383,g
85.2934,38.3607,3.805,0.1791,0.0972,-5.1982,72.7592,23.6211,3.104,354.787,g
200.881,59.7478,4.0229,0.0864,0.0484,127.156,127.103,40.4597,85.57600000000001,295.34,h
30.9161,20.5479,2.7164,0.4419,0.245,26.257,28.1435,-16.9085,14.437,145.02100000000002,g
76.5716,33.5462,3.5914,0.2424,0.1326,25.3864,42.4458,-15.911,4.4055,352.472,g
75.8366,32.0853,3.4842,0.1627,0.0874,-67.3406,46.6759,-20.8778,0.2581,293.28,g
96.7193,33.6874,3.9202,0.136,0.0711,26.8044,80.4982,12.2979,2.0169,326.507,g
65.8891,12.799,2.6031,0.3292,0.1733,-22.3348,-21.2681,-10.7821,11.9282,266.509,h
37.1179,17.9932,2.6998,0.2735,0.1487,37.261,27.851,12.792,0.8845,217.719,g
93.2945,24.2211,3.2695,0.2032,0.1089,-2.0955,62.521,15.7291,1.851,326.515,g
29.0828,14.8125,2.5982,0.4489,0.261,3.792,-17.3284,-6.2019,7.9405,200.671,g
22.3607,12.3815,2.3253,0.5154,0.2719,-1.331,9.8102,5.5702,23.99,186.33,g
61.2692,23.2062,3.3153,0.2153,0.1149,-10.0504,59.0903,16.3661,12.18,286.97,g
25.5659,16.3505,2.5860000000000003,0.3839,0.2166,8.939,17.7941,-7.3356,9.1817,246.247,g
129.138,20.4463,2.9523,0.3984,0.2271,-149.605,36.0174,15.9074,11.718,331.26,h
23.9911,16.2626,2.5966,0.4709,0.2367,18.8501,14.9584,-11.417,4.869,156.565,g
44.7821,14.8631,2.889,0.2569,0.1414,31.6467,24.9265,8.4655,4.0468,242.131,g
35.0178,9.0437,2.7105,0.4615,0.2756,22.596,20.3377,11.4346,51.287,135.614,h
19.4162,16.5386,2.5257,0.5663,0.3353,23.7922,7.6174,-17.4922,10.8246,205.363,h
16.6775,11.4413,2.3385,0.5826,0.305,1.9848,-6.7611,-4.1854,61.153,221.504,h
