Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,aqi_range
0,106,3,1,1,0,0,2,5.89,1,1,90,3.86,1
0,733,2,2,0,1,0,1,4.37,0,1,96,3.55,1
0,737,4,2,2,0,0,2,7.45,1,1,121,3.81,2
0,900,3,2,0,2,1,2,6.16,3,1,100,1.34,1
3,2238,14,6,2,0,0,3,5.46,0,1,116,4.77,2
1,1185,3,3,0,0,0,2,5.69,0,1,91,4.49,1
1,1779,3,3,1,0,0,1,7.43,0,1,100,2.9,1
2,1281,5,2,1,3,0,3,7.72,3,1,143,0.96,2
0,268,1,3,1,1,0,3,6.13,0,0,94,4.17,1
0,159,2,2,1,0,1,2,6.77,0,1,90,4.48,1
0,521,1,2,1,0,0,3,4.14,0,1,89,4.82,1
3,2164,13,4,1,1,0,1,6.09,0,1,105,3.53,2
1,1620,3,4,1,0,0,3,6.08,0,1,143,4.74,2
1,1359,4,1,1,0,0,2,6.96,0,1,84,4.49,1
0,416,3,1,0,0,1,1,6.99,0,1,117,4.14,2
0,795,1,1,2,0,0,-1,6.92,0,1,169,4.07,3
0,508,2,1,0,0,0,3,6.41,1,1,131,4.12,2
2,436,5,1,2,0,0,2,6.7,3,1,102,2.59,2
1,1735,5,3,0,0,1,1,6.47,2,1,164,2.82,3
0,497,3,3,2,2,0,0,5.74,1,1,103,1.96,2
1,1553,2,2,1,0,0,3,4.33,0,1,83,4.19,1
0,781,4,2,2,0,0,3,6.51,0,1,101,4.79,2
2,941,5,3,0,0,0,2,5.19,0,1,100,4.48,1
0,441,2,1,2,0,0,3,6.74,0,1,112,4.77,2
3,4161,6,3,1,0,-1,3,7.83,0,1,156,4.71,3
1,1150,2,2,1,0,0,0,7.01,1,2,97,3.16,1
0,770,1,2,0,1,0,3,4.22,2,1,103,2.91,2
5,990,7,3,1,0,0,3,3.6,0,0,27,4.96,0
3,1809,9,5,0,0,0,3,8.31,0,2,133,4.67,2
3,2008,9,5,0,2,0,3,8.42,2,2,190,2.09,3
3,3799,9,4,1,3,0,0,4.3,1,1,84,1.37,1
0,910,2,2,1,0,1,2,7.45,0,1,156,4.4,3
1,1476,5,2,0,1,0,3,7.05,0,1,140,4.11,2
2,11813,5,3,1,0,0,1,7.29,0,1,127,4.12,2
0,886,2,2,1,1,0,3,7.27,0,1,112,4.14,2
0,358,3,3,2,0,0,0,7.56,0,1,148,3.78,2
1,1143,2,1,1,0,0,2,7.09,0,1,133,3.8,2
0,404,1,1,1,1,0,-1,6.29,0,1,93,4.17,1
3,2912,15,2,1,0,0,1,6.33,3,1,133,2.24,2
0,190,3,1,1,1,0,2,7.83,0,1,132,3.8,2
1,1622,3,1,1,0,0,3,8.3,1,2,161,4.01,3
0,247,1,2,0,2,0,2,6.02,0,1,83,3.24,1
4,264,2,2,0,0,1,1,6.29,0,1,117,4.14,2
0,423,3,3,1,0,1,2,5.32,0,2,109,3.78,2
1,1304,5,2,2,0,0,3,4.77,1,1,110,4.16,2
0,508,4,2,1,0,0,3,5.83,1,1,98,4.17,1
2,497,7,3,2,1,1,2,4.9,1,1,115,3.21,2
0,106,1,1,2,0,0,3,7.1,2,1,91,3.54,1
3,3493,4,2,0,0,0,1,6.71,0,1,130,4.12,2
4,423,2,1,1,1,0,-1,5.1,0,1,114,3.52,2
2,691,6,2,0,0,0,3,5.02,0,1,113,4.78,2
0,451,4,1,0,1,0,3,5.84,1,1,84,3.56,1
0,482,3,1,1,0,1,3,6.17,0,1,101,4.79,2
1,1418,4,4,1,0,1,3,6.08,0,1,161,4.71,3
0,217,1,1,1,1,0,2,6.82,0,1,115,3.82,2
3,2943,11,3,2,1,0,1,6.6,1,1,130,2.87,2
1,1123,3,4,2,1,0,2,3.08,1,0,94,3.31,1
2,683,6,3,2,0,0,3,6.61,0,1,131,4.75,2
1,2033,3,2,2,0,0,3,5.92,0,1,120,4.77,2
4,200,2,1,2,0,0,3,6.22,1,1,164,4.08,3
0,362,4,3,1,1,0,3,3.81,0,0,82,4.26,1
4,225,3,2,0,1,0,2,6.76,0,1,112,3.83,2
1,1749,4,1,2,1,0,2,5.92,1,1,103,3.22,2
3,2933,12,6,0,0,0,0,8.46,0,2,125,3.74,2
0,242,4,2,1,0,1,3,5.78,0,1,108,4.78,2
1,1688,5,3,1,0,1,-1,6.17,1,1,97,3.22,1
0,904,1,1,0,0,1,1,7.12,3,1,91,2.28,1
0,168,1,2,1,0,0,1,6.08,0,1,105,4.16,2
0,277,1,2,1,0,1,3,5.59,2,1,119,3.51,2
0,958,1,3,1,0,1,2,5.98,1,1,81,3.87,1
1,1591,3,4,1,1,0,2,7.23,0,1,97,3.84,1
0,538,4,2,1,0,1,3,4.79,1,1,98,4.17,1
0,191,2,2,1,0,0,1,7.0,0,1,158,4.08,3
0,781,1,1,0,0,1,3,7.65,2,1,149,3.46,2
5,2185,4,1,0,2,0,3,6.24,0,1,100,3.53,1
4,462,0,1,1,0,1,3,8.27,1,2,177,3.99,3
0,692,1,3,1,2,0,0,7.51,1,1,144,1.9,2
0,263,1,1,1,0,0,2,7.05,0,1,133,4.43,2
5,985,2,3,2,0,0,1,7.6,0,1,117,4.13,2
0,136,3,2,1,0,1,2,4.15,1,1,98,3.86,1
1,1493,5,2,1,2,0,3,4.31,1,1,113,2.9,2
5,313,1,3,1,1,0,3,6.02,0,1,124,4.13,2
0,182,3,2,1,1,1,3,6.25,0,1,157,4.09,3
1,2032,2,2,1,0,0,2,6.78,0,1,130,4.43,2
0,491,3,3,1,0,0,1,5.68,0,1,100,4.16,1
0,870,1,1,2,1,1,3,6.21,0,1,97,3.54,1
0,7302,3,3,0,0,1,2,7.92,3,1,82,2.6,1
1,2164,3,4,1,0,0,3,5.66,1,1,97,4.17,1
2,778,6,3,1,3,0,2,5.86,2,1,82,1.36,1
0,379,2,1,1,2,0,0,6.55,1,1,129,1.93,2
4,233,3,1,1,1,0,3,6.81,0,1,112,4.14,2
3,2082,11,2,0,0,1,3,4.16,2,1,90,3.56,1
0,840,1,1,2,0,0,2,4.77,2,1,111,3.22,2
1,1725,4,2,1,0,0,3,5.7,1,1,120,4.14,2
0,265,3,1,0,0,0,3,8.48,2,2,181,3.36,3
4,23128,1,2,0,2,0,1,7.67,0,1,790,2.89,5
1,1576,5,3,0,0,1,2,5.19,1,1,114,3.84,2
0,304,4,1,1,0,0,2,5.62,1,1,84,3.87,1
1,1822,5,4,0,1,-1,3,7.59,2,1,157,2.83,3
1,1116,3,4,1,0,0,3,2.53,0,0,94,4.88,1
1,1364,5,1,1,1,0,3,7.56,2,1,113,2.88,2
3,3342,5,6,1,0,0,1,5.07,1,1,80,3.57,1
0,409,3,1,1,1,0,1,8.67,0,2,191,3.34,3
2,651,4,3,1,1,0,2,8.4,1,2,195,3.02,3
0,812,4,3,1,0,0,1,6.74,0,1,123,4.13,2
3,2308,8,6,0,0,0,2,5.27,1,1,91,3.86,1
0,500,4,1,1,0,0,3,2.47,0,0,4,3.74,0
0,189,4,2,2,0,-1,0,5.47,1,1,89,3.24,1
0,684,4,2,1,0,1,2,5.59,1,1,88,3.87,1
2,1005,5,3,0,1,0,3,5.63,2,1,87,2.93,1
5,783,2,2,2,0,0,2,5.05,1,1,84,3.87,1
1,1672,4,2,2,0,0,0,6.73,1,1,83,3.24,1
0,316,3,2,1,2,0,2,6.24,2,1,157,1.89,3
1,1192,5,2,1,0,0,1,5.81,2,1,96,2.91,1
1,2003,3,2,2,0,0,3,6.14,0,1,162,4.71,3
1,13602,5,2,1,0,0,3,7.7,0,1,89,4.79,1
1,2290,2,2,0,0,0,3,5.55,1,1,88,4.18,1
0,112,3,1,2,0,0,3,6.0,1,1,95,4.17,1
2,777,7,2,1,2,0,2,4.81,2,1,103,1.97,2
0,209,1,3,2,1,0,3,3.15,1,0,75,3.65,1
0,497,3,3,2,0,0,1,6.95,0,1,104,4.15,2
0,699,1,2,0,0,0,3,6.03,0,1,151,4.73,3
2,649,7,3,1,1,1,3,5.46,1,1,119,3.51,2
2,518,5,2,1,1,0,1,7.3,0,1,161,3.45,3
0,729,3,1,1,0,1,1,7.93,0,1,139,4.1,2
1,13700,5,4,0,1,0,3,7.8,0,2,80,4.11,1
1,1340,2,2,2,0,0,3,6.61,1,1,91,4.17,1
1,1986,5,2,1,0,0,1,5.78,0,1,112,4.15,2
3,2840,14,4,1,0,0,0,6.3,0,1,118,3.82,2
1,2281,4,4,1,0,0,1,7.8,1,1,119,3.5,2
3,3212,15,2,1,0,-1,2,6.3,0,1,130,4.44,2
1,1166,3,2,0,1,0,3,7.19,3,1,89,2.29,1
1,1145,2,3,2,0,0,3,7.08,0,1,117,4.76,2
0,579,2,1,1,1,0,-1,7.02,0,1,137,4.11,2
1,1495,5,2,1,0,0,1,8.04,0,2,157,4.02,3
2,720,6,2,1,1,0,2,5.22,1,1,97,3.23,1
2,877,7,1,1,0,0,2,7.3,1,1,124,3.81,2
1,1801,4,3,0,0,0,3,5.1,1,1,118,3.52,2
0,951,1,3,0,1,0,1,5.35,0,1,93,2.92,1
2,1255,6,2,0,2,0,3,5.67,2,1,95,2.29,1
1,1178,4,1,0,0,0,2,4.37,2,1,103,3.23,2
1,1500,5,3,1,0,1,0,5.68,1,1,94,3.23,1
5,602,4,2,1,0,0,2,7.47,1,1,130,3.8,2
0,980,3,2,1,1,1,3,5.97,1,1,106,3.53,2
1,2274,2,2,0,0,1,2,5.92,1,1,118,3.83,2
2,666,6,2,2,0,0,3,5.69,0,1,111,4.78,2
0,559,3,2,0,0,0,2,6.79,1,1,141,3.79,2
0,312,2,2,0,0,0,1,6.29,1,1,150,3.47,2
0,683,1,2,1,0,0,3,6.9,0,1,167,4.7,3
0,407,1,1,1,1,0,3,5.37,0,1,114,4.15,2
4,289,1,2,1,0,0,3,7.77,3,1,96,2.9,1
1,1351,4,1,0,0,0,3,6.69,0,1,84,4.18,1
2,670,6,3,2,0,0,3,6.94,1,1,105,4.15,2
1,1345,3,2,1,1,0,2,2.58,1,0,23,3.4,0
1,9823,4,2,1,0,1,0,6.56,3,1,143,1.91,2
1,1409,2,4,0,0,0,3,7.62,1,1,93,4.16,1
0,730,2,2,0,0,0,1,7.04,1,1,150,3.47,2
1,1763,2,3,0,0,1,3,9.02,2,2,190,3.34,3
5,617,7,3,1,1,0,1,7.41,0,1,141,3.47,2
1,1258,3,3,0,0,0,0,6.49,0,0,87,3.86,1
1,2070,5,1,0,0,0,2,7.97,0,1,124,4.43,2
1,1559,2,3,1,0,0,3,9.16,0,2,171,4.62,3
2,489,5,3,0,0,0,3,5.66,0,1,98,4.79,1
3,2079,15,5,1,1,0,1,5.64,2,1,117,2.26,2
0,310,2,3,1,1,0,2,4.52,1,1,87,3.25,1
3,3289,12,2,2,0,1,3,6.33,1,1,115,4.14,2
2,724,6,3,0,1,0,1,6.28,0,1,158,3.46,3
