,Unnamed: 0,Monthly_Inhand_Salary ,Accounts of user,Credit cards user have,Interest Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Utlization Ratio,Credit Inquiries,Cumulative Balance,Cash Flow,Credit Score
5279,5279,4377.0725,10,6,27,6,35,18,16.66,2950.8,154.1724263,301.5937949,271.9410288,76,15,4009,4251,Best
473,473,2184.576667,8,6,32,7,51,19,25.17,2989.13,132.4811279,71.01671964,294.9598191,75,19,2425,1073,Best
1355,1355,1837.084167,3,7,3,2,14,8,3.37,1336.73,26.74670147,31.02727436,375.9344408,94,0,1731,3322,Good
1546,1546,6867.951667,5,4,9,1,6,12,10.36,625.32,66.45771045,176.2673594,704.0700968,86,8,1984,1614,Standard
1323,1323,1089.85875,4,7,4,2,12,5,11.9,1439.09,14.3501461,50.84036141,303.7953675,93,0,2765,3986,Good
2942,2942,5914.9475,6,3,17,1,20,12,7.56,804.61,38.40824349,218.7256156,584.3608909,77,18,4208,4497,Best
6013,6013,2184.576667,8,6,32,7,49,16,25.17,2989.13,132.4811279,186.0192201,169.9573187,77,16,1761,2788,Best
1347,1347,819.5158333,6,3,14,2,18,20,9.33,847.88,10.05059807,10.29628141,301.6047039,92,1,2971,4789,Good
1327,1327,1896.835833,6,9,23,5,16,18,0.84,1657.74,56.26113897,33.8750841,359.5473603,88,7,3244,2267,Standard
38,38,4766.68,6,4,14,3,10,8,11.54,179.22,124.3920824,233.1184454,409.1574722,72,15,4392,4508,Best
1366,1366,3935.3,5,6,28,6,13,12,9.64,2521.52,211.7097552,353.1999765,118.6202683,95,7,2838,842,Standard
4525,4525,10209.92667,2,2,8,3,12,1,11.26,845.47,289.4723049,158.8511948,812.669167,91,4,2927,1126,Good
5838,5838,8273.86,4,6,6,4,22,12,15.34,366.33,297.5250602,688.3575366,121.5034032,70,19,1606,600,Best
787,787,2859.285,8,5,13,3,4,9,18.88,1571.52,60.5135673,57.21881525,408.1961175,86,12,2975,2824,Standard
2176,2176,1905.030417,5,3,1,2,12,10,9.38,1278.69,67371.0,65.23652046,352.0194997,98,5,3000,2789,Good
4386,4386,3551.08,6,8,25,5,34,21,8.12,2203.98,133.047023,86.60537424,385.4556028,91,12,3867,1665,Standard
6799,6799,9211.04,2,4,7,2,4,12,11.69,1360.45,105.3645556,342.2556566,723.4837878,77,10,3903,1183,Best
5273,5273,4047.9725,3,3,13,3,21,10,12.08,2346.34,89.97133651,68.28476317,496.5411503,94,14,3824,1142,Best
1017,1017,1904.28,3,1,5,2,13,5,2.53,1498.02,19.34731148,53.87767297,367.2030156,74,7,3550,1991,Best
5515,5515,2521.596667,4,7,15,6,15,14,8.41,775.33,81.4748102,142.7388465,317.94601,71,19,2255,1143,Best
2052,2052,10073.25,4,3,7,-100,3,7,8.4,1481.99,105.8769474,355.0193981,816.4286545,81,9,3213,464,Standard
78,78,1684.168333,1,5,1,2,5,6,6.83,413.32,29.53458372,74.21434055,334.6679091,95,5,4500,2147,Good
730,730,2361.11,2,3,12,2,14,2,5.78,343.6,34.16860445,190.5748496,301.367546,98,0,2859,2808,Good
6436,6436,1916.910833,5,3,14,3,14,13,10.53,1123.51,51.42495074,153.1963685,277.0697641,73,16,2450,3875,Best
7102,7102,10405.4025,1,4,3,2,15,10,5.24,869.62,114.3056508,587.3074871,598.9271122,71,17,2232,1263,Best
3195,3195,2529.110833,4,7,5,3,5,12,5.83,812.01,46.12940862,104.2027181,352.5789566,89,10,1330,3081,Standard
1012,1012,5561.831667,8,7,5,2,11,8,8.11,1446.37,86.4011582,184.3643665,545.4176419,71,7,3143,2946,Best
3864,3864,3664.406667,5,7,1,4,22,9,5.9,317.73,132.3181086,73.73107532,400.3914827,76,13,4039,4203,Standard
6726,6726,578.6241533,3,3,20,4,24,15,18.34,94.17,123.0646385,78.03136725,244.037591,76,14,2195,2016,Best
4272,4272,5532.573333,10,7,31,6,24,11,9.28,1767.61,288.0041711,62.46766598,452.7854963,90,18,4456,742,Standard
582,582,2431.045,7,9,16,2,59,16,18.91,2203.46,35.63379962,286.5592868,210.9114136,77,15,2495,1155,Best
1944,1944,3430.105833,5,4,11,2,4,13,9.45,791.51,63.23724085,103.6978742,426.0754683,95,1,4595,4964,Good
7477,7477,2582.813333,7,3,5,1,14,10,11.32,1237.46,22.68817758,340.9908376,184.6023182,75,14,2599,3542,Best
2479,2479,9747.993333,5,6,11,4,11,18,3.4,985.01,342.4945666,63.99799049,808.3067763,81,14,4898,3331,Best
4197,4197,6159.105586,0,6,4,1,13,5,8.97,752.66,477.1370792,161.0430839,700.2759178,94,3,1119,4366,Good
2231,2231,870.4295833,6,10,31,7,50,16,5.2,1954.62,46.17718896,89.39454128,231.4712281,99,9,1291,631,Standard
1230,1230,5309.995,7,8,30,9,42,17,7.79,1751.87,427.8450722,154.1308308,199.0235969,83,13,4680,712,Standard
6192,6192,1447.354167,4,7,12,2,4,14,10.34,1029.41,19.37172239,121.3051382,294.0585561,77,14,2872,1557,Best
7096,7096,2297.919167,5,3,5,4,25,12,12.2,778.68,79.25048947,196.2280375,234.3133897,79,19,3474,4328,Best
511,511,2767.995,10,9,15,5,42,21,7.67,2593.23,101.6474842,106.6730371,358.4789788,80,12,2610,3640,Standard
4192,4192,9328.0175,1,7,7,3,4,5,4.91,317.32,154.3973902,181.5754141,836.8289457,99,5,4440,2675,Good
3552,3552,5942.056667,5,4,7,2,14,4,7.15,1106.06,101.3581309,221.4788656,521.3686701,79,18,3046,657,Best
5191,5191,1212.99375,3,4,11,3,30,20,17.43,991.78,18.07906349,96.80621625,296.4140953,77,19,2357,602,Best
6540,6540,3845.0475,5,7,9,6,13,14,14.14,2414.79,157.7818125,85.6176757,391.1052618,71,18,4448,620,Best
